visitorid,itemid,date_time,purchase,num_categoryid,num_parentid,dayofweek,hour,week,previous_view,previous_transaction
375734,282298,2015-05-03 03:01:12.265,0,2,2,6,3,18,0,0
990356,165095,2015-05-03 03:07:36.557,0,1,1,6,3,18,0,0
468868,132177,2015-05-03 03:09:54.795,0,1,1,6,3,18,0,0
954142,430517,2015-05-03 03:09:57.950,0,1,1,6,3,18,0,0
177538,256473,2015-05-03 03:12:38.559,0,1,1,6,3,18,0,0
75253,260154,2015-05-03 03:23:42.443,0,1,1,6,3,18,0,0
869008,40685,2015-05-03 03:27:21.391,1,1,1,6,3,18,1,0
1375898,338721,2015-05-03 03:27:44.160,0,1,1,6,3,18,0,0
316285,5987,2015-05-03 03:30:43.707,0,1,1,6,3,18,0,0
440486,312717,2015-05-03 03:39:44.685,0,1,1,6,3,18,0,0
734214,233538,2015-05-03 03:46:15.956,0,1,1,6,3,18,0,0
113843,389200,2015-05-03 03:46:46.891,0,1,1,6,3,18,0,0
1283791,265810,2015-05-03 03:47:29.089,0,2,1,6,3,18,0,0
901372,366229,2015-05-03 03:56:37.455,0,1,1,6,3,18,0,0
586756,440917,2015-05-03 04:01:47.591,1,1,1,6,4,18,0,0
1136270,163826,2015-05-03 04:07:27.604,0,1,1,6,4,18,0,0
435495,175893,2015-05-03 04:07:38.961,1,1,1,6,4,18,1,0
883903,183137,2015-05-03 04:10:25.497,0,1,1,6,4,18,0,0
801127,280869,2015-05-03 04:21:00.544,0,1,1,6,4,18,0,0
1327268,367676,2015-05-03 04:24:38.910,0,1,1,6,4,18,0,0
292018,236381,2015-05-03 04:30:32.488,0,1,1,6,4,18,0,0
266417,445106,2015-05-03 04:31:14.903,1,1,1,6,4,18,1,0
266417,301359,2015-05-03 04:31:14.950,1,1,1,6,4,18,1,1
1282205,444888,2015-05-03 04:31:44.947,1,2,1,6,4,18,0,0
607247,4740,2015-05-03 04:48:35.527,0,1,1,6,4,18,0,0
2326,224511,2015-05-03 04:49:25.694,0,1,1,6,4,18,0,0
379008,441645,2015-05-03 04:56:06.224,1,1,1,6,4,18,1,0
379008,441645,2015-05-03 05:01:22.903,1,1,1,6,5,18,1,1
611754,210087,2015-05-03 05:04:29.395,1,2,2,6,5,18,1,0
380259,220028,2015-05-03 05:04:51.596,0,1,1,6,5,18,0,0
619893,180097,2015-05-03 05:05:29.429,1,2,1,6,5,18,1,0
1206788,70790,2015-05-03 05:41:33.312,1,2,1,6,5,18,1,0
1268955,236233,2015-05-03 05:41:45.769,0,1,1,6,5,18,0,0
